id,County,SubCounty,Ward
191,Mandera,mandera west,takaba south
192,Mandera,mandera west,takaba
193,Mandera,mandera west,lag sure
194,Mandera,mandera west,dandu
195,Mandera,mandera west,gither
196,Mandera,banissa,banissa
197,Mandera,banissa,derkhale
198,Mandera,banissa,guba
199,Mandera,banissa,malkamari
200,Mandera,banissa,kiliwehiri
201,Mandera,mandera north,ashabito
202,Mandera,mandera north,guticha
203,Mandera,mandera north,morothile
204,Mandera,mandera north,rhamu
205,Mandera,mandera north,rhamu-dimtu
206,Mandera,mandera south,wargudud
207,Mandera,mandera south,kutulo
208,Mandera,mandera south,elwak south
209,Mandera,mandera south,elwak north
210,Mandera,mandera south,shimbir fatuma
211,Mandera,mandera east,arabia
212,Mandera,mandera east,bulla mpya
213,Mandera,mandera east,khalalio
214,Mandera,mandera east,neboi
215,Mandera,mandera east,township
216,Mandera,lafey,libehia
217,Mandera,lafey,fino
218,Mandera,lafey,lafey
219,Mandera,lafey,warankara
220,Mandera,lafey,alungo gof